day,infected_population,recovered_population,city_id,data_role
1,186.93861447250777,10.291415193150327,city9,dellma_input
2,210.5675486060334,34.268691951119706,city9,dellma_input
3,233.99355208098547,71.0689378748232,city9,dellma_input
4,250.9946125267613,114.20814193148897,city9,dellma_input
5,273.28748084419203,145.03843655511525,city9,dellma_input
6,306.32436494896734,174.51584797215543,city9,dellma_input
7,313.7515267015199,221.81589689145727,city9,dellma_input
8,322.39097193257106,264.4092163016475,city9,dellma_input
9,348.1731891833292,311.94140035001084,city9,dellma_input
10,346.3038359062298,375.6812373695995,city9,dellma_input
11,379.41633948059484,421.49416316803223,city9,dellma_input
12,415.76846012009804,463.1911841249403,city9,dellma_input
13,436.5662229045897,518.3247732025382,city9,dellma_input
14,463.21583606935974,573.9918598610404,city9,dellma_input
15,477.9060859618162,654.2317415318222,city9,dellma_input
16,514.227403746503,718.5971050765604,city9,dellma_input
17,531.0316526309267,798.9204413347245,city9,dellma_input
18,563.3854581441547,877.8484906862227,city9,dellma_input
19,588.4250185497232,958.8909376715702,city9,dellma_input
20,613.8543187603539,1042.2456760227342,city9,dellma_input
21,623.2740863313211,1122.8746428277464,city9,dellma_input
22,641.4403086306154,1208.9120596582097,city9,dellma_input
23,677.5725516699571,1299.0615746243022,city9,dellma_input
24,700.5201842304859,1396.6860575645212,city9,dellma_input
25,727.7977159147599,1502.5563926927944,city9,dellma_input
26,771.2299501936272,1611.4896261993038,city9,dellma_input
27,785.1234808855264,1740.1242010489373,city9,dellma_input
28,828.5839296395169,1851.7639381652266,city9,dellma_input
29,875.972249730706,1983.4085770382871,city9,dellma_input
30,930.0473885401819,2098.9158715063522,city9,dellma_input
