name,vn_kv,type,zone,in_service,max_vm_pu,min_vm_pu,geo
1,135.0,b,1.0,True,1.06,0.94,"{""coordinates"": [1.9673949894, -0.9610198739], ""type"": ""Point""}"
2,135.0,b,1.0,True,1.06,0.94,"{""coordinates"": [2.9779852289, -1.0412882366], ""type"": ""Point""}"
3,135.0,b,1.0,True,1.06,0.94,"{""coordinates"": [3.780660539, -1.6066859687], ""type"": ""Point""}"
4,135.0,b,1.0,True,1.06,0.94,"{""coordinates"": [3.8337344898, -0.4914657254], ""type"": ""Point""}"
5,135.0,b,1.0,True,1.06,0.94,"{""coordinates"": [2.6937067209, -0.095882852], ""type"": ""Point""}"
6,0.208,b,1.0,True,1.06,0.94,"{""coordinates"": [2.5321180205, 1.2056156419], ""type"": ""Point""}"
7,14.0,b,1.0,True,1.06,0.94,"{""coordinates"": [4.8721406581, -0.2692952825], ""type"": ""Point""}"
8,12.0,b,1.0,True,1.06,0.94,"{""coordinates"": [5.9042747731, -0.5402149495], ""type"": ""Point""}"
9,0.208,b,1.0,True,1.06,0.94,"{""coordinates"": [4.274948799, 0.5335379916], ""type"": ""Point""}"
10,0.208,b,1.0,True,1.06,0.94,"{""coordinates"": [3.2723067024, 0.9619849305], ""type"": ""Point""}"
11,0.208,b,1.0,True,1.06,0.94,"{""coordinates"": [1.8366837619, 1.0890065149], ""type"": ""Point""}"
12,0.208,b,1.0,True,1.06,0.94,"{""coordinates"": [2.3371166416, 2.3091630377], ""type"": ""Point""}"
13,0.208,b,1.0,True,1.06,0.94,"{""coordinates"": [3.3094922817, 2.1179802998], ""type"": ""Point""}"
14,0.208,b,1.0,True,1.06,0.94,"{""coordinates"": [4.3962052866, 1.6847581464], ""type"": ""Point""}"
