name,std_type,from_bus,to_bus,length_km,r_ohm_per_km,x_ohm_per_km,c_nf_per_km,g_us_per_km,max_i_ka,df,parallel,type,in_service,max_loading_percent,geo
,,0,1,1.0,3.532005,10.7837325,768.4847732283562,0.0,42.33901974057255,1.0,1,ol,True,100.0,
,,0,4,1.0,9.8469675,40.64904,716.0880841446046,0.0,42.33901974057255,1.0,1,ol,True,100.0,
,,1,2,1.0,8.5639275,36.0800325,637.4930505189773,0.0,42.33901974057255,1.0,1,ol,True,100.0,
,,1,3,1.0,10.5905475,32.13432,494.8576191243203,0.0,42.33901974057255,1.0,1,ol,True,100.0,
,,1,4,1.0,10.3791375,31.68963,503.5904006382789,0.0,42.33901974057255,1.0,1,ol,True,100.0,
,,2,3,1.0,12.2125725,31.1702175,186.29933896445,0.0,42.33901974057255,1.0,1,ol,True,100.0,
,,3,4,1.0,2.4330375,7.6745475,0.0,0.0,42.33901974057255,1.0,1,ol,True,100.0,
,,5,10,1.0,4.10921472e-05,8.6052096e-05,0.0,0.0,27479.65223546777,1.0,1,ol,True,100.0,
,,5,11,1.0,5.31757824e-05,0.0001106736384,0.0,0.0,27479.65223546777,1.0,1,ol,True,100.0,
,,5,12,1.0,2.8619136e-05,5.63600128e-05,0.0,0.0,27479.65223546777,1.0,1,ol,True,100.0,
,,8,9,1.0,1.37622784e-05,3.655808e-05,0.0,0.0,27479.65223546777,1.0,1,ol,True,100.0,
,,8,13,1.0,5.49928704e-05,0.0001169772032,0.0,0.0,27479.65223546777,1.0,1,ol,True,100.0,
,,9,10,1.0,3.5498112e-05,8.30971648e-05,0.0,0.0,27479.65223546777,1.0,1,ol,True,100.0,
,,11,12,1.0,9.55788288e-05,8.64760832e-05,0.0,0.0,27479.65223546777,1.0,1,ol,True,100.0,
,,12,13,1.0,7.39511552e-05,0.0001505673728,0.0,0.0,27479.65223546777,1.0,1,ol,True,100.0,
